,transcript,file,orf_count,cds_count,ratio,prob_uORF_init_rpb,prob_cds_init_rpb,prob_uORF_init_raw,prob_cds_init_raw,initiation_ratio,ratio_diff_init_minus_full
0,ENST00000301838,Park17_SRR5413158,47,93,1.62,1.59,2.46,0.47,1.0,1.55,-0.07
1,ENST00000301838,Park17_SRR5413155,53,121,1.87,1.36,2.44,0.4,0.99,1.79,-0.08
2,ENST00000301838,Park17_SRR5413156,34,85,2.05,1.28,2.46,0.37,1.0,1.92,-0.13
3,ENST00000301838,Park17_SRR5413157,36,65,1.48,1.71,2.46,0.5,1.0,1.44,-0.04
4,ENST00000301838,Park16_SRR3306585,865,675,0.64,2.8,2.46,0.82,1.0,0.88,0.24
5,ENST00000301838,Park16_SRR3306586,1316,2425,1.51,1.53,2.45,0.45,0.99,1.6,0.09
6,ENST00000301838,Park16_SRR3306587,1828,3158,1.42,1.69,2.44,0.5,0.99,1.44,0.02
7,ENST00000301838,Park16_SRR3306583,3019,2505,0.68,2.68,2.46,0.78,1.0,0.92,0.24
8,ENST00000301838,Park16_SRR3306589,2006,3585,1.46,1.54,2.43,0.45,0.99,1.58,0.12
9,ENST00000301838,Park16_SRR3306588,3447,2923,0.69,2.62,2.46,0.77,1.0,0.94,0.25
10,ENST00000301838,Park16_SRR3306584,2097,3095,1.21,1.73,2.45,0.51,0.99,1.42,0.21
